patient_id,n_samples,n_correct,acc
1,5.0,5.0,1.0
2,1.0,0.0,0.0
3,6.0,6.0,1.0
4,6.0,0.0,0.0
5,6.0,6.0,1.0
6,5.0,5.0,1.0
7,5.0,0.0,0.0
8,4.0,4.0,1.0
9,2.0,0.0,0.0
10,3.0,0.0,0.0
11,6.0,0.0,0.0
12,6.0,0.0,0.0
13,5.0,0.0,0.0
14,2.0,0.0,0.0
16,1.0,0.0,0.0
17,3.0,3.0,1.0
18,4.0,4.0,1.0
