patient_id,n_samples,n_correct,acc
1,12.0,6.0,0.5
2,12.0,10.0,0.8333
3,12.0,8.0,0.6667
4,12.0,6.0,0.5
5,12.0,10.0,0.8333
6,12.0,6.0,0.5
7,12.0,5.0,0.4167
8,12.0,5.0,0.4167
9,12.0,6.0,0.5
10,12.0,6.0,0.5
11,12.0,8.0,0.6667
12,12.0,5.0,0.4167
13,12.0,7.0,0.5833
14,12.0,9.0,0.75
15,12.0,9.0,0.75
16,12.0,5.0,0.4167
17,12.0,9.0,0.75
18,12.0,4.0,0.3333
19,12.0,8.0,0.6667
20,12.0,6.0,0.5
21,12.0,8.0,0.6667
22,12.0,7.0,0.5833
23,12.0,9.0,0.75
24,12.0,5.0,0.4167
25,12.0,4.0,0.3333
26,12.0,10.0,0.8333
27,12.0,9.0,0.75
28,12.0,6.0,0.5
29,12.0,9.0,0.75
30,12.0,9.0,0.75
31,12.0,7.0,0.5833
32,12.0,6.0,0.5
33,12.0,8.0,0.6667
34,12.0,9.0,0.75
35,12.0,5.0,0.4167
36,12.0,4.0,0.3333
37,12.0,9.0,0.75
38,12.0,4.0,0.3333
39,12.0,8.0,0.6667
40,12.0,4.0,0.3333
