patient_id,n_samples,n_correct,acc
1,12.0,11.0,0.9167
2,12.0,3.0,0.25
3,12.0,9.0,0.75
4,12.0,9.0,0.75
5,12.0,11.0,0.9167
6,12.0,4.0,0.3333
7,12.0,9.0,0.75
8,12.0,9.0,0.75
9,12.0,9.0,0.75
10,12.0,3.0,0.25
11,12.0,6.0,0.5
12,12.0,10.0,0.8333
13,12.0,9.0,0.75
14,12.0,8.0,0.6667
15,12.0,4.0,0.3333
16,12.0,5.0,0.4167
17,12.0,6.0,0.5
18,12.0,9.0,0.75
19,12.0,4.0,0.3333
20,12.0,3.0,0.25
21,12.0,3.0,0.25
22,12.0,4.0,0.3333
23,12.0,8.0,0.6667
24,12.0,6.0,0.5
25,12.0,9.0,0.75
26,12.0,3.0,0.25
27,12.0,9.0,0.75
28,12.0,3.0,0.25
29,12.0,3.0,0.25
30,12.0,3.0,0.25
31,12.0,11.0,0.9167
32,12.0,3.0,0.25
33,12.0,8.0,0.6667
34,12.0,9.0,0.75
35,12.0,9.0,0.75
36,12.0,3.0,0.25
37,12.0,7.0,0.5833
38,12.0,6.0,0.5
39,12.0,11.0,0.9167
40,12.0,4.0,0.3333
