patient_id,n_samples,n_correct,acc
2,1.0,1.0,1.0
3,1.0,0.0,0.0
4,1.0,1.0,1.0
5,2.0,2.0,1.0
7,1.0,1.0,1.0
11,1.0,1.0,1.0
17,1.0,1.0,1.0
18,1.0,0.0,0.0
