patient_id,n_samples,n_correct,acc
1,10.0,9.0,0.9
10,6.0,6.0,1.0
11,12.0,10.0,0.8333
12,12.0,5.0,0.4167
13,10.0,7.0,0.7
14,4.0,4.0,1.0
16,2.0,2.0,1.0
17,6.0,4.0,0.6667
18,8.0,6.0,0.75
2,2.0,2.0,1.0
3,12.0,6.0,0.5
4,12.0,6.0,0.5
5,12.0,7.0,0.5833
6,10.0,8.0,0.8
7,10.0,8.0,0.8
8,8.0,4.0,0.5
9,4.0,3.0,0.75
patient_id,1.0,0.0,0.0
