patient_id,n_samples,n_correct,acc
1,12.0,3.0,0.25
2,12.0,3.0,0.25
3,12.0,8.0,0.6667
4,12.0,3.0,0.25
5,12.0,3.0,0.25
6,12.0,8.0,0.6667
7,12.0,3.0,0.25
8,12.0,9.0,0.75
9,12.0,3.0,0.25
10,12.0,3.0,0.25
11,12.0,3.0,0.25
12,12.0,3.0,0.25
13,12.0,6.0,0.5
14,12.0,9.0,0.75
15,12.0,3.0,0.25
16,12.0,9.0,0.75
17,12.0,3.0,0.25
18,12.0,9.0,0.75
19,12.0,3.0,0.25
20,12.0,9.0,0.75
21,12.0,8.0,0.6667
22,12.0,3.0,0.25
23,12.0,3.0,0.25
24,12.0,9.0,0.75
25,12.0,3.0,0.25
26,12.0,9.0,0.75
27,12.0,3.0,0.25
28,12.0,3.0,0.25
29,12.0,3.0,0.25
30,12.0,9.0,0.75
31,12.0,9.0,0.75
32,12.0,3.0,0.25
33,12.0,9.0,0.75
34,12.0,3.0,0.25
35,12.0,3.0,0.25
36,12.0,3.0,0.25
37,12.0,3.0,0.25
38,12.0,9.0,0.75
39,12.0,3.0,0.25
40,12.0,3.0,0.25
